Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language
661a2c3a966934a75e1c5004,5f209641ae86003b679bb43f,APPROVED,Not Applicable,2024-04-13T06:54:54.364000Z,2024-04-13T07:12:18.172000Z,2024-05-04T00:00:36.296000Z,2024-04-13T07:12:18.902573Z,1044.0,C8MRP57T,182,Yes,"Java, Javascript, R, Python",25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,
661a2c8b66d320de4d31a32b,60f801efc0846c47e4e755e6,APPROVED,Not Applicable,2024-04-13T06:56:11.356000Z,2024-04-13T07:35:24.603000Z,2024-05-04T00:00:39.016000Z,2024-04-13T07:36:25.703272Z,2354.0,C8MRP57T,625,Yes,"Javascript, Java, Python, R",23,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),
661a2cc6dd1bd65b560d9619,610299d092eb1df29a1c88b6,APPROVED,Not Applicable,2024-04-13T06:57:10.029000Z,2024-04-13T07:21:11.225000Z,2024-05-04T00:00:47.915000Z,2024-04-13T07:21:11.830553Z,1442.0,C8MRP57T,84,Yes,"TypeScript, Swift, Javascript, Java, Go",27,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,
661a2ce85122903a80040af8,5929c96027ea400001301061,APPROVED,Not Applicable,2024-04-13T06:57:44.115000Z,2024-04-13T07:19:27.668000Z,2024-05-04T00:00:48.301000Z,2024-04-13T07:20:11.823494Z,1304.0,C8MRP57T,1181,Yes,"Javascript, HTML, PHP, SQL",52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
661a2f7ed2e34221e75986c7,5ee890fabb763018d1ad774e,APPROVED,Not Applicable,2024-04-13T07:08:46.016000Z,2024-04-13T07:21:04.470000Z,2024-05-04T00:00:48.716000Z,2024-04-13T07:21:05.076994Z,739.0,C8MRP57T,480,Yes,"C and C++, CSS, Javascript, HTML, Python, Ruby, SQL, TypeScript",25,Male,Asian,Canada,Canada,Canada,English,No,Part-Time,
661a2bf3094ac205d9b90a46,5eb0b209841d811648aa239c,RETURNED,Not Applicable,2024-04-13T06:53:39.107000Z,,,,,,227,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a2c4cac3cddf50c35182d,5a9e37d835237b000112b4dd,RETURNED,Not Applicable,2024-04-13T06:55:16.550000Z,,,,,,17,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a2cb32d6a87c097a18e52,5c7223bd7ed3a70001fc1df0,RETURNED,Not Applicable,2024-04-13T07:06:51.919000Z,,,,,,300,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a2e13154167ce66c723f9,65b3beb4463142ec09dfa888,RETURNED,Not Applicable,2024-04-13T07:04:54.844000Z,,,,,,250,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
