batch,project,prolificId,questionSet,runRecords3,runRecords4,submitRecords3,submitRecords4,codeExecutionSummary,cheat,BF_P_Sim,BF_AI_Sim,JPlag_P_Sim,JPlag_AI_Sim,leaveFullScreenTimes
1,formal_hard_longest_valid_parenthesis_with,653fb764c9aed77c01457531,hard_longest_valid_parenthesis,0.1,1,0,0,1,,1,1,,,
1,formal_hard_longest_valid_parenthesis_with,6544fee5e7e367fee0b57cde,hard_longest_valid_parenthesis,0.1,0,0,0,0,YES,0.2222222222222222,0.11764705882352941,,,"{""2"":[1,4]}"
1,formal_hard_longest_valid_parenthesis_with,655cb963a808c9bbd81fcaa1,hard_longest_valid_parenthesis,0.1,0.1,0,0,0,,0.2222222222222222,0.11764705882352941,,,"{""3"":[1,2]}"
1,formal_hard_longest_valid_parenthesis_with,6612d5576f3d2a793497ffa3,hard_longest_valid_parenthesis,0.1,0,0.1,0,0,YES,1,1,,,"{""3"":[1,7]}"
2,formal_hard_longest_valid_parenthesis_with,5b9b1de4d2599000010fb247,hard_longest_valid_parenthesis,0.1,1,0,1,1,YES,1,1,,,"{""3"":[2,5]}"
2,formal_hard_longest_valid_parenthesis_with,60fd528cbd7f31e9b838efa5,hard_longest_valid_parenthesis,0,0.1,0,0,0,,0.4375,0.4117647058823529,,,
2,formal_hard_longest_valid_parenthesis_with,61300c2d5a36876db1251ff5,hard_longest_valid_parenthesis,0,0,0,0,-1,,0.5714285714285714,0.47058823529411764,,,
2,formal_hard_longest_valid_parenthesis_with,6148bf90e4a4620ca010c833,hard_longest_valid_parenthesis,0.1,0.1,0,0,0,,0.25,0.11764705882352941,,,
2,formal_hard_longest_valid_parenthesis_with,647985db31c9c45669d8b50f,hard_longest_valid_parenthesis,0,1,0,0,1,,1,1,,,
1,formal_hard_longest_valid_parenthesis_without,5f5a5b1f0093330fa4ea011f,hard_longest_valid_parenthesis,1,0,0,0,1,,0.35,0.4117647058823529,,,
1,formal_hard_longest_valid_parenthesis_without,611e20464a435b1b494f042d,hard_longest_valid_parenthesis,1,1,0,0,1,,0.6470588235294118,0.6470588235294118,,,
1,formal_hard_longest_valid_parenthesis_without,6511f1f1490c9df9f8c7890e,hard_longest_valid_parenthesis,1,1,0,0,1,,0.3,0.17647058823529413,,,
1,formal_hard_longest_valid_parenthesis_without,6522a42f39b5bd8f96735aa9,hard_longest_valid_parenthesis,1,1,0,0,1,,0.3076923076923077,0.23529411764705882,,,
1,formal_hard_longest_valid_parenthesis_without,65ddec4ce8c0b18582e05517,hard_longest_valid_parenthesis,0,1,0,0,1,YES,1,1,,,"{""3"":[1,13]}"
2,formal_hard_longest_valid_parenthesis_without,601ee216235cb139ff0a631f,hard_longest_valid_parenthesis,0,1,0,1,1,,1,1,,,
2,formal_hard_longest_valid_parenthesis_without,60af9bae67a5ae86b0c4bd68,hard_longest_valid_parenthesis,0.1,1,0,0,1,,0.5,0.5294117647058824,,,
2,formal_hard_longest_valid_parenthesis_without,611d1b663a5c2ab412850a1c,hard_longest_valid_parenthesis,0.1,0,0.1,0,0,,0.3793103448275862,0.6470588235294118,,,
2,formal_hard_longest_valid_parenthesis_without,62d81f26161631255f0d36bd,hard_longest_valid_parenthesis,1,0,0.1,1,1,,1,1,,,
