Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language,projectName
6617a61c49e79e280647041a,65895cc810c582df1d708a65,APPROVED,Not Applicable,2024-04-11T08:58:04.237000Z,2024-04-11T09:12:25.019000Z,2024-05-02T16:11:40.051000Z,2024-04-11T09:12:25.723942Z,861.0,C8MRP57T,47,Yes,"HTML, Javascript, C#, C and C++",30,Female,Asian,Sri Lanka,Latvia,Sri Lanka,English,Yes,Unemployed (and job seeking),,online-easy-ransom-notes-without
6617b1259e56ae4f89562696,60ec51c51a3158a50ded8a3e,APPROVED,Not Applicable,2024-04-11T09:45:36.313000Z,2024-04-11T09:53:55.011000Z,2024-05-02T16:11:42.934000Z,2024-04-11T09:54:07.465145Z,499.0,C8MRP57T,899,Yes,"C and C++, Java, Javascript, HTML, SQL",20,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time,,online-easy-ransom-notes-without
6617b1d5cfc99d16aebbef70,62e94c384f809b7d0831f4ea,APPROVED,Not Applicable,2024-04-11T09:48:36.673000Z,2024-04-11T10:02:59.109000Z,2024-05-02T16:11:43.559000Z,2024-04-11T10:03:06.389225Z,863.0,C8MRP57T,1188,Yes,"C#, Javascript, Python, SQL, Swift",33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,,online-easy-ransom-notes-without
661a87457a2cbdcae15d72e8,6171312b4f75ea6a71c23125,APPROVED,Not Applicable,2024-04-13T13:23:17.512000Z,2024-04-13T13:30:57.788000Z,2024-05-04T00:00:57.742000Z,2024-04-13T13:30:58.596232Z,461.0,C8MRP57T,108,Yes,"C and C++, CSS, Javascript, HTML, SQL",24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking),,online-easy-ransom-notes-without
6617a191bb97aa928584fed7,61203fcb6751b5910c746744,TIMED-OUT,Not Applicable,2024-04-11T08:39:19.108000Z,,,,3135930.0,,1,Yes,Javascript,31,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED,English,online-easy-ransom-notes-without
6617a1d81447b63a4cb42a4d,5bfec64050b9e10001c499e5,TIMED-OUT,Not Applicable,2024-04-11T08:40:01.782000Z,,,,3135888.0,,150,Yes,"C and C++, CSS, Java, Javascript, HTML, Python, SQL, TypeScript",25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time,"English, Portuguese, Italian",online-easy-ransom-notes-without
6617a20b9b1e1ca60eacb997,611d49d12910d7a7b27e5d31,RETURNED,Not Applicable,2024-04-11T08:41:02.020000Z,,,,,,197,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,online-easy-ransom-notes-without
6617a3432b1fe5fc2d91d759,65e698a44a9a6ad230c14ad7,REJECTED,Not Applicable,2024-04-11T08:46:02.186000Z,2024-04-11T08:53:44.347000Z,2024-04-13T13:22:13.742000Z,2024-04-11T08:54:52.643000Z,463.0,None,11,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,online-easy-ransom-notes-without
6617a35fba14cf2daf9b9cf5,65e331729c379df7986a735d,RETURNED,Not Applicable,2024-04-11T08:47:59.968000Z,,,,,,22,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,online-easy-ransom-notes-without
6617a4c6e81895dd9a2caed5,611d1134bcc4eda812acf219,RETURNED,Not Applicable,2024-04-11T08:52:55.120000Z,,,,,,521,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,online-easy-ransom-notes-without
