Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language,projectName
663bd3efa3f206cb92c89d34,6159e83b6407a6d5345d3b99,APPROVED,Not Applicable,2024-05-08T19:35:21.489000Z,2024-05-08T19:55:30.976000Z,2024-05-14T09:27:02.378000Z,2024-05-08T19:56:33.676695Z,1210.0,C8MRP57T,119,Yes,"Java, Javascript, HTML, TypeScript",26,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,"English, Other",online-easy_ransom_notes-with-b2
663bd41a6a5c3ff01e695328,65523123662559399b1aa48a,APPROVED,Not Applicable,2024-05-08T19:36:01.200000Z,2024-05-08T19:52:26.404000Z,2024-05-14T09:27:02.667000Z,2024-05-08T19:52:27.090069Z,986.0,C8MRP57T,52,Yes,"Javascript, HTML, Matlab, Python, SQL",19,Female,Other,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),English,online-easy_ransom_notes-with-b2
663bebed7a4cbcbe6e8706ce,6609688e8e4fe9698ab13a66,APPROVED,Not Applicable,2024-05-08T21:24:19.357000Z,2024-05-08T21:38:44.312000Z,2024-05-14T09:27:02.930000Z,2024-05-08T21:38:45.331461Z,865.0,C8MRP57T,128,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, PHP, Python, SQL",41,Male,White,Canada,Canada,Canada,English,No,Full-Time,English,online-easy_ransom_notes-with-b2
6644c556e40f96c138564933,63f8705ae362b217290d08c2,APPROVED,Not Applicable,2024-05-15T14:23:24.932000Z,2024-05-15T14:34:07.681000Z,2024-05-16T01:40:52.533000Z,2024-05-15T14:34:08.635409Z,643.0,C8MRP57T,369,Yes,"C and C++, CSS, Javascript, HTML, Matlab, Python, R, SQL",36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,English,online-easy_ransom_notes-with-b3
6644c59bfccdce73c9635dac,614b7c6143772286a208caea,APPROVED,Not Applicable,2024-05-15T14:24:27.128000Z,2024-05-15T14:50:53.313000Z,2024-05-16T01:40:52.947000Z,2024-05-15T14:53:18.700417Z,1587.0,C8MRP57T,135,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, Python, SQL, TypeScript",27,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Part-Time,English,online-easy_ransom_notes-with-b3
6644c5bd5c548b71f8a9571b,60f9b7d785b3e37efe2c21d3,APPROVED,Not Applicable,2024-05-15T14:25:01.923000Z,2024-05-15T14:46:17.304000Z,2024-05-16T01:40:53.192000Z,2024-05-15T14:46:17.862599Z,1276.0,C8MRP57T,291,Yes,"C and C++, Javascript, HTML, Matlab, Ruby, SQL",30,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,"English, Other",online-easy_ransom_notes-with-b3
6644c5e00a501ade9dd190cb,65583ffa38bfc41805a553cd,APPROVED,Not Applicable,2024-05-15T14:27:20.666000Z,2024-05-15T14:52:31.144000Z,2024-05-16T01:40:53.450000Z,2024-05-15T14:54:03.151739Z,1511.0,C8MRP57T,8,Yes,"Java, C and C++, Go, Javascript, Python, PHP, HTML",23,Male,Black,South Africa,South Africa,South Africa,Other,Yes,Full-Time,"English, Other",online-easy_ransom_notes-with-b3
6644c8e698b7e4fe6297d32b,653fc00d3035a31db0314c28,APPROVED,Not Applicable,2024-05-15T14:38:34.238000Z,2024-05-15T15:00:39.388000Z,2024-05-16T01:40:53.708000Z,2024-05-15T15:00:39.858773Z,1326.0,C8MRP57T,102,Yes,"Javascript, HTML, TypeScript, CSS, SQL",37,Female,White,Azerbaijan,Netherlands,Azerbaijan,Other,No,Full-Time,English,online-easy_ransom_notes-with-b3
6644d964c401ce330963e563,65d935f75fde30418cc7dad4,APPROVED,Not Applicable,2024-05-15T15:48:58.618000Z,2024-05-15T15:54:59.517000Z,2024-05-16T01:40:54.222000Z,2024-05-15T15:55:00.486560Z,361.0,C8MRP57T,240,Yes,"Ruby, Javascript",23,Female,White,Peru,United States,Peru,Spanish,Yes,Part-Time,English,online-easy_ransom_notes-with-b3
6637f12bee9fb87aed2823ca,65abd7494c8491a1bb90411a,APPROVED,Not Applicable,2024-05-05T20:50:51.531000Z,2024-05-05T21:13:26.866000Z,2024-05-14T09:29:18.778000Z,2024-05-05T21:13:28.267279Z,1356.0,C8MRP57T,127,Yes,"Javascript, Python, R, SQL, C and C++",43,Female,Black,Nigeria,Canada,Canada,English,No,Part-Time,English,online-easy_ransom_notes-without-b2
