Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language
661a2be05122903a80040ac6,60f7c71d1cffec381351b0b3,APPROVED,Not Applicable,2024-04-13T06:53:53.847000Z,2024-04-13T07:00:38.855000Z,2024-05-04T00:00:29.260000Z,2024-04-13T07:01:22.884210Z,406.0,C8MRP57T,156,Yes,Javascript,26,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,
661a2c0ad2e34221e759864e,65d5b28658b48e4435f182d0,APPROVED,Not Applicable,2024-04-13T06:54:09.800000Z,2024-04-13T07:16:35.990000Z,2024-05-04T00:00:29.644000Z,2024-04-13T07:19:11.916944Z,1347.0,C8MRP57T,8,Yes,Javascript,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,
661a2daedc20c9fb5159819c,64622d2c6d50562c9b68e0c1,APPROVED,Not Applicable,2024-04-13T07:01:02.385000Z,2024-04-13T07:11:15.364000Z,2024-05-04T00:00:30.163000Z,2024-04-13T07:11:24.510422Z,613.0,C8MRP57T,366,Yes,"C#, Java, HTML, PHP, Javascript, CSS, C and C++",33,Male,Asian,United States,Japan,United States,English,No,Full-Time,
661a3410a07560f98253fe15,60315645c8c7420a2f1ade9c,APPROVED,Not Applicable,2024-04-13T07:34:52.498000Z,2024-04-13T08:02:33.069000Z,2024-05-04T00:00:30.592000Z,2024-04-13T08:02:46.445301Z,1661.0,C8MRP57T,859,Yes,"Javascript, Python",37,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time,
661a3b8243d9e2f9a2b8f58e,65257c1a7780ceee7f6ef9bd,APPROVED,Not Applicable,2024-04-13T08:00:02.597000Z,2024-04-13T08:45:51.836000Z,2024-05-04T00:00:31.115000Z,2024-04-13T08:46:12.861226Z,2750.0,C8MRP57T,278,Yes,"HTML, PHP, Python, SQL, Javascript, Java, C and C++, CSS",19,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED,
661a2bafbc138c5e9f024207,6144742e57a61e489cc9e978,TIMED-OUT,Not Applicable,2024-04-13T06:52:43.922000Z,,,,2969638.0,,589,Yes,"Java, Javascript, SQL",25,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,English
661a2bc871010290cb44ade9,6110e56bd1d45e7a07aacfc8,RETURNED,Not Applicable,2024-04-13T06:53:15.511000Z,,,,,,324,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a2c1d519a185f99c7f23e,611d932c6d9624420c882320,RETURNED,Not Applicable,2024-04-13T06:54:29.003000Z,,,,,,156,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a2dbc485b5e6211bbfefc,612537b2bd6b4a38f4e7f63a,RETURNED,Not Applicable,2024-04-13T07:03:10.496000Z,,,,,,464,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
