Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language
661b80e7c2425d3764ed84af,660824b3f06831a1db520ff0,APPROVED,Not Applicable,2024-04-14T07:09:22.745000Z,2024-04-14T07:22:19.808000Z,2024-05-05T00:00:24.504000Z,2024-04-14T07:22:49.381880Z,778.0,C8MRP57T,4,Yes,"Javascript, Java, HTML, SQL",23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,
661b81e84e491538b51c9bd0,650b5155a7df63a5df87a7ed,APPROVED,Not Applicable,2024-04-14T07:12:40.629000Z,2024-04-14T07:25:52.966000Z,2024-05-05T00:00:25.011000Z,2024-04-14T07:25:53.833413Z,793.0,C8MRP57T,117,Yes,"Java, HTML, Python, SQL, CSS, C#, Javascript, PHP",25,Male,Asian,Sri Lanka,Latvia,Sri Lanka,English,Yes,Part-Time,
661b827a371c5a420ef8554b,5e43f3ab6c137d000b704bd2,APPROVED,Not Applicable,2024-04-14T07:15:12.869000Z,2024-04-14T07:31:52.735000Z,2024-05-05T00:00:25.338000Z,2024-04-14T07:31:53.584464Z,1000.0,C8MRP57T,180,Yes,"C and C++, CSS, Javascript, HTML, Matlab, Python, R, TypeScript",30,Female,White,Australia,Australia,Australia,English,Yes,Full-Time,
661b831223606ee5f07ed7a2,6154776b07de67ce15599bd5,APPROVED,Not Applicable,2024-04-14T07:21:29.761000Z,2024-04-14T07:29:49.584000Z,2024-05-05T00:00:25.618000Z,2024-04-14T07:29:50.291554Z,500.0,C8MRP57T,54,Yes,"Javascript, HTML, C and C++, CSS, Java",23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,
661b8319a8820f7913de8376,60f514c8104b6a16e44f77a9,APPROVED,Not Applicable,2024-04-14T07:17:52.247000Z,2024-04-14T07:37:31.186000Z,2024-05-05T00:00:26.194000Z,2024-04-14T07:37:32.530778Z,1179.0,C8MRP57T,449,Yes,"CSS, Javascript, HTML, TypeScript",28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,
661b80d7c2425d3764ed84ad,615dfa409d28374d872b9fe5,RETURNED,Not Applicable,2024-04-14T07:09:50.978000Z,,,,,,348,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661b80fc966934a75e1c9285,60e46e6f6bc0c2cdf5d077ce,RETURNED,Not Applicable,2024-04-14T07:08:44.087000Z,,,,,,442,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
